FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Customer,Launch outcome,Version Booster,Booster landing,Time
1,6 June 2021,Falcon 1,20.0,GTO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin1A,167.7431292,9.0477206,"Sirius XM
","Success
",F9 B5,Success,04:26
2,6 June 2021,Falcon 1,5919.16534090909,GTO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin2A,167.7431292,9.0477206,"Sirius XM
","Success
",F9 B5,Success,04:26
3,6 June 2021,Falcon 1,165.0,GTO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin2C,167.7431292,9.0477206,"Sirius XM
","Success
",F9 B5,Success,04:26
4,6 June 2021,Falcon 1,200.0,GTO,Kwajalein Atoll,None None,1,False,False,False,,,0,Merlin3C,167.7431292,9.0477206,"Sirius XM
","Success
",F9 B5,Success,04:26
5,6 June 2021,Falcon 9,5919.16534090909,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0003,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
6,6 June 2021,Falcon 9,525.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0005,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
7,6 June 2021,Falcon 9,677.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B0007,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
8,6 June 2021,Falcon 9,500.0,GTO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,0,B1003,-120.610829,34.632093,"Sirius XM
","Success
",F9 B5,Success,04:26
9,6 June 2021,Falcon 9,3170.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1004,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
10,6 June 2021,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1005,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
11,6 June 2021,Falcon 9,2296.0,GTO,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,0,B1006,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
12,6 June 2021,Falcon 9,1316.0,GTO,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,0,B1007,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
13,6 June 2021,Falcon 9,4535.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1008,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
14,6 June 2021,Falcon 9,4428.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1011,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
15,6 June 2021,Falcon 9,2216.0,GTO,CCSFS SLC 40,False Ocean,1,False,False,False,,1.0,0,B1010,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
16,6 June 2021,Falcon 9,2395.0,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1012,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
17,6 June 2021,Falcon 9,570.0,GTO,CCSFS SLC 40,True Ocean,1,True,False,True,,1.0,0,B1013,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
18,6 June 2021,Falcon 9,1898.0,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,B1015,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
19,6 June 2021,Falcon 9,4707.0,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,0,B1016,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
20,6 June 2021,Falcon 9,2477.0,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1018,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
21,6 June 2021,Falcon 9,2034.0,GTO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1019,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
22,6 June 2021,Falcon 9,553.0,GTO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,B1017,-120.610829,34.632093,"Sirius XM
","Success
",F9 B5,Success,04:26
23,6 June 2021,Falcon 9,5271.0,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,B1020,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
24,6 June 2021,Falcon 9,3136.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021,-80.577366,28.5618571,"Sirius XM
","Success
",F9 B5,Success,04:26
